Name,Cuisine Style,Ranking,Rating,Price Range,Number of Reviews,Reviews,URL_TA
Wine O'Clock Shop Prague,"['Italian', 'Mediterranean', 'European', 'Wine Bar', 'International', 'Vegetarian Friendly', 'Gluten Free Options']",1.0,5.0,$$ - $$$,967.0,"[['Best dinner in prague!', 'Lovely evening'], ['01/09/2018', '01/07/2018']]",/Restaurant_Review-g274707-d8374547-Reviews-Wine_O_Clock_Shop_Prague-Prague_Bohemia.html
Namaste India Indian Restaurant,"['Indian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",2.0,5.0,$$ - $$$,377.0,"[['fantastic indian food!', 'Really great!!'], ['01/09/2018', '01/08/2018']]",/Restaurant_Review-g274707-d10920105-Reviews-Namaste_India_Indian_Restaurant-Prague_Bohemia.html
Be Bop Lobby Bar,"['International', 'Bar', 'Vegetarian Friendly', 'Gluten Free Options']",3.0,5.0,$$ - $$$,797.0,"[['NYE 2018', 'Just the coolest cocktails ever. ..'], ['01/01/2018', '01/01/2018']]",/Restaurant_Review-g274707-d6494862-Reviews-Be_Bop_Lobby_Bar-Prague_Bohemia.html
Portfolio restaurant,"['International', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.0,5.0,$$$$,884.0,"[['New year break', 'Perfect for a couple getaway'], ['01/07/2018', '01/06/2018']]",/Restaurant_Review-g274707-d10299686-Reviews-Portfolio_restaurant-Prague_Bohemia.html
Etnosvet,"['International', 'European', 'Asian', 'Vegetarian Friendly', 'Vegan Options']",5.0,4.5,$$ - $$$,1485.0,"[['Vegan vegeterian top fine dining 5 stars', 'Delightful'], ['01/09/2018', '01/08/2018']]",/Restaurant_Review-g274707-d8568017-Reviews-Etnosvet-Prague_Bohemia.html
Indian By Nature,"['Indian', 'Asian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",6.0,4.5,$$ - $$$,912.0,"[['Lovely Meal', 'Great place chilled out atmosphere'], ['01/09/2018', '01/09/2018']]",/Restaurant_Review-g274707-d3448223-Reviews-Indian_By_Nature-Prague_Bohemia.html
Bellevue,"['International', 'European', 'Czech', 'Central European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",7.0,4.5,$$$$,3151.0,"[['Amazing!!', 'The BEST!'], ['01/08/2018', '01/05/2018']]",/Restaurant_Review-g274707-d694806-Reviews-Bellevue-Prague_Bohemia.html
Blue Wagon,"['French', 'Czech', 'International', 'Vegetarian Friendly']",8.0,4.5,$$ - $$$,436.0,"[['Great restaurant!', 'New year Dinner'], ['01/09/2018', '01/02/2018']]",/Restaurant_Review-g274707-d3835034-Reviews-Blue_Wagon-Prague_Bohemia.html
Restaurant Alcron,"['French', 'International', 'European', 'Central European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",9.0,4.5,$$$$,1388.0,"[['Art deco restaurant with a modern take on...', 'Nice food, great service.'], ['01/04/2018', '01/03/2018']]",/Restaurant_Review-g274707-d694888-Reviews-Restaurant_Alcron-Prague_Bohemia.html
Ristorante Pagana,"['Seafood', 'Italian', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",10.0,4.5,$$ - $$$,1352.0,"[['Absolutely outstanding....', 'Great Food'], ['01/05/2018', '01/04/2018']]",/Restaurant_Review-g274707-d4794349-Reviews-Ristorante_Pagana-Prague_Bohemia.html
SOVA,"['European', 'Contemporary', 'Fusion', 'Czech', 'Central European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",11.0,4.5,$$ - $$$,366.0,"[['Excellent', 'Perfekt!!!'], ['01/08/2018', '01/07/2018']]",/Restaurant_Review-g274707-d12309521-Reviews-SOVA-Prague_Bohemia.html
DIVINE bistronomy twist,"['International', 'Diner', 'European', 'Central European', 'Vegan Options', 'Gluten Free Options']",12.0,4.5,$$ - $$$,779.0,"[['Excellent experience', 'A fantantic Christmas Eve'], ['01/01/2018', '12/26/2017']]",/Restaurant_Review-g274707-d4768883-Reviews-DIVINE_bistronomy_twist-Prague_Bohemia.html
U Kunstatu - Craft beer in Old Town,"['Bar', 'Czech', 'Contemporary', 'Pub', 'Gastropub', 'Diner']",13.0,4.5,$$ - $$$,585.0,"[['Great location to sample some local brews', 'Best craft beer place in Prague🍺'], ['01/09/2018', '01/05/2018']]",/Restaurant_Review-g274707-d3377413-Reviews-U_Kunstatu_Craft_beer_in_Old_Town-Prague_Bohemia.html
K The Two Brothers,"['Indian', 'Asian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",14.0,4.5,$$ - $$$,2162.0,"[['Perfect!', 'Delicious meal and Brilliant service'], ['01/09/2018', '01/09/2018']]",/Restaurant_Review-g274707-d6661941-Reviews-K_The_Two_Brothers-Prague_Bohemia.html
Vegan's Restaurant Prague,"['European', 'Czech', 'Central European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",15.0,4.5,$$ - $$$,852.0,"[['Simply stunning', 'Whenever we are in Prague'], ['01/08/2018', '01/06/2018']]",/Restaurant_Review-g274707-d10125390-Reviews-Vegan_s_Restaurant_Prague-Prague_Bohemia.html
BadJeff's Barbeque,"['American', 'Bar', 'Barbecue', 'Fusion']",16.0,4.5,$$ - $$$,849.0,"[['Absolutely Fantastic & Always Again !', 'Best restaurant in town !'], ['01/02/2018', '12/30/2017']]",/Restaurant_Review-g274707-d7222354-Reviews-BadJeff_s_Barbeque-Prague_Bohemia.html
Terasa u Zlate Studne,"['International', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",17.0,4.5,$$$$,1808.0,"[['Awesome view with lovely food and great se...', 'Excellent'], ['01/04/2018', '12/27/2017']]",/Restaurant_Review-g274707-d1092210-Reviews-Terasa_u_Zlate_Studne-Prague_Bohemia.html
V Zatisi,"['International', 'European', 'Czech', 'Central European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",18.0,4.5,$$$$,1789.0,"[['Amazing dining experience', ""Fine Dining which deserves it's name!""], ['01/08/2018', '01/08/2018']]",/Restaurant_Review-g274707-d1097078-Reviews-V_Zatisi-Prague_Bohemia.html
Da Tarquinio,"['Italian', 'Pizza', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",19.0,4.5,$,308.0,"[['Came for the Cacio e pepe', 'Best value in prague'], ['01/04/2018', '01/02/2018']]",/Restaurant_Review-g274707-d12686694-Reviews-Da_Tarquinio-Prague_Bohemia.html
Bila krava,"['French', 'Steakhouse', 'European', 'Central European', 'Gluten Free Options']",20.0,4.5,$$ - $$$,865.0,"[['Stunning Steaks.', 'Superb steaks'], ['12/30/2017', '12/30/2017']]",/Restaurant_Review-g274707-d1092634-Reviews-Bila_krava-Prague_Bohemia.html
Mlynec Restaurant,"['European', 'Czech', 'Eastern European', 'Central European', 'International', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",21.0,4.5,$$$$,2673.0,"[['Excellent Meal', 'Fantastic visit'], ['01/09/2018', '01/08/2018']]",/Restaurant_Review-g274707-d1511573-Reviews-Mlynec_Restaurant-Prague_Bohemia.html
La Veranda,"['Italian', 'French', 'Mediterranean', 'European', 'International', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",22.0,4.5,$$$$,1003.0,"[['Outstanding!', 'Absolutely cosmic!'], ['01/07/2018', '01/03/2018']]",/Restaurant_Review-g274707-d694813-Reviews-La_Veranda-Prague_Bohemia.html
Sad Man's Tongue Bar & Bistro,"['International', 'European', 'Pub', 'Vegetarian Friendly']",23.0,4.5,$,1530.0,"[['If you’re ever in Prague...THIS IS THE PLA...', 'An Awesome Bistro & Bar!'], ['01/08/2018', '01/08/2018']]",/Restaurant_Review-g274707-d10820086-Reviews-Sad_Man_s_Tongue_Bar_Bistro-Prague_Bohemia.html
ART&FOOD Had,"['European', 'Wine Bar', 'Czech', 'International', 'Vegetarian Friendly', 'Gluten Free Options']",24.0,4.5,$$ - $$$,811.0,"[['Fantastic service, excellent food.', 'Amazing food and Personalized Experience'], ['01/04/2018', '01/01/2018']]",/Restaurant_Review-g274707-d3825162-Reviews-ART_FOOD_Had-Prague_Bohemia.html
Chilli Point,"['International', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",25.0,4.5,$$ - $$$,806.0,"[['Great place to spice up your life ;-)', 'Awesome experience even for those who are...'], ['01/09/2018', '01/07/2018']]",/Restaurant_Review-g274707-d7914410-Reviews-Chilli_Point-Prague_Bohemia.html
La Finestra,"['Italian', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",26.0,4.5,$$$$,1397.0,"[[""New Year's Eve / Birthday Dinner"", 'Best food experience!'], ['01/03/2018', '12/27/2017']]",/Restaurant_Review-g274707-d1504567-Reviews-La_Finestra-Prague_Bohemia.html
La Rotonde Restaurant,"['French', 'Czech', 'Central European', 'Vegetarian Friendly', 'Gluten Free Options', 'Vegan Options']",27.0,4.5,$$$$,702.0,"[['Excellent Christmas Feast', 'Outstanding service, food and wine'], ['01/06/2018', '01/05/2018']]",/Restaurant_Review-g274707-d2155219-Reviews-La_Rotonde_Restaurant-Prague_Bohemia.html
Field Restaurant,"['European', 'Czech', 'Central European', 'Vegetarian Friendly']",28.0,4.5,$$$$,1189.0,"[['Excellent 10-course tasting menu', 'This restaurant blew us away'], ['01/05/2018', '01/04/2018']]",/Restaurant_Review-g274707-d7235557-Reviews-Field_Restaurant-Prague_Bohemia.html
Pastar Restaurant and Food Shop,"['Italian', 'Mediterranean', 'European', 'International', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",29.0,4.5,$$ - $$$,906.0,"[['Great by all means', 'Excellent risotto'], ['01/08/2018', '12/30/2017']]",/Restaurant_Review-g274707-d7188095-Reviews-Pastar_Restaurant_and_Food_Shop-Prague_Bohemia.html
Estrella restaurant,"['European', 'Contemporary', 'Healthy', 'Central European', 'International', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",30.0,4.5,$$ - $$$,935.0,"[['Amazing little vegan/vegetarian restaurant', 'Sumptuous food in a wonderful location'], ['01/05/2018', '01/02/2018']]",/Restaurant_Review-g274707-d4554155-Reviews-Estrella_restaurant-Prague_Bohemia.html
Nase maso,"['European', 'Czech', 'Gluten Free Options']",31.0,4.5,$,2142.0,"[['If you love meat - Nase Maso is a MUST', 'Tiny place, awesome meatloaf'], ['01/06/2018', '01/04/2018']]",/Restaurant_Review-g274707-d6783641-Reviews-Nase_maso-Prague_Bohemia.html
The Street Restaurant & Cocktail Bar,"['American', 'Bar', 'International', 'European', 'Vegetarian Friendly']",32.0,4.5,$$ - $$$,313.0,"[['Delicious food, highly recommend!!', 'New Years Day with Family'], ['01/09/2018', '01/06/2018']]",/Restaurant_Review-g274707-d12269888-Reviews-The_Street_Restaurant_Cocktail_Bar-Prague_Bohemia.html
Le Grill Restaurant,"['European', 'Central European', 'International', 'Vegetarian Friendly', 'Gluten Free Options', 'Vegan Options']",33.0,4.5,$$$$,877.0,"[['Modern Czech Cuisine', 'Seasonal products - modern cuisine for rea...'], ['01/03/2018', '01/03/2018']]",/Restaurant_Review-g274707-d1809460-Reviews-Le_Grill_Restaurant-Prague_Bohemia.html
George Prime Steak,"['American', 'Steakhouse', 'Gluten Free Options']",34.0,4.5,$$$$,2036.0,"[['Quality at its best !', 'Go hungry.....'], ['01/06/2018', '01/03/2018']]",/Restaurant_Review-g274707-d4828419-Reviews-George_Prime_Steak-Prague_Bohemia.html
ROESEL - craft beer & cake,"['Bar', 'Cafe', 'European', 'Czech', 'Central European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",35.0,4.5,$,186.0,"[['Gloriously Simple and Straitforwards', 'Little gem!'], ['01/03/2018', '12/23/2017']]",/Restaurant_Review-g274707-d12365787-Reviews-ROESEL_craft_beer_cake-Prague_Bohemia.html
VENUE,"['Wine Bar', 'Cafe', 'European', 'Central European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",36.0,4.5,$$ - $$$,317.0,"[['Perfect', 'Gluten free breakfast 💙'], ['01/09/2018', '01/07/2018']]",/Restaurant_Review-g274707-d8317508-Reviews-VENUE-Prague_Bohemia.html
Cisty stul,"['International', 'European', 'Czech', 'Central European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",37.0,4.5,$$ - $$$,364.0,"[['Going back', 'good food, good location'], ['01/06/2018', '01/06/2018']]",/Restaurant_Review-g274707-d10735273-Reviews-Cisty_stul-Prague_Bohemia.html
St.Martin,"['International', 'European', 'Czech', 'Central European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",38.0,4.5,$,1176.0,"[['hidden gem', 'Odpovídá hodnocením'], ['01/07/2018', '01/06/2018']]",/Restaurant_Review-g274707-d8804379-Reviews-St_Martin-Prague_Bohemia.html
Coda Restaurant,"['European', 'Czech', 'Eastern European', 'Central European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",39.0,4.5,$$$$,713.0,"[['Great', 'New Years Eve'], ['01/05/2018', '12/31/2017']]",/Restaurant_Review-g274707-d1091075-Reviews-Coda_Restaurant-Prague_Bohemia.html
Zdenek's Oyster Bar,"['Mediterranean', 'Seafood', 'Gluten Free Options']",40.0,4.5,$$$$,645.0,"[['All I Can Say Is Wow ❤️', 'Christmas period'], ['01/01/2018', '12/23/2017']]",/Restaurant_Review-g274707-d2172588-Reviews-Zdenek_s_Oyster_Bar-Prague_Bohemia.html
Lehka Hlava - Clear Head,"['European', 'Central European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",41.0,4.5,$$ - $$$,2475.0,"[['Best Vegetarian Option in Town', 'One of the Two Best in Prague!'], ['01/06/2018', '01/05/2018']]",/Restaurant_Review-g274707-d793134-Reviews-Lehka_Hlava_Clear_Head-Prague_Bohemia.html
BEEF BAR Prague,"['Steakhouse', 'Barbecue', 'Argentinean', 'Grill', 'Gluten Free Options']",42.0,4.5,$$ - $$$,398.0,"[[""The best steak I've ever had"", 'Tasty steaks'], ['01/07/2018', '01/03/2018']]",/Restaurant_Review-g274707-d10356841-Reviews-BEEF_BAR_Prague-Prague_Bohemia.html
BeerGeek Bar,"['American', 'Bar', 'European', 'Pub', 'Vegetarian Friendly']",43.0,4.5,$$ - $$$,253.0,"[['Great beer, atmosphere and wings!', 'Beer drinking'], ['01/07/2018', '01/03/2018']]",/Restaurant_Review-g274707-d7899136-Reviews-BeerGeek_Bar-Prague_Bohemia.html
Kampa Park,"['European', 'Czech', 'Central European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",44.0,4.5,$$$$,3040.0,"[['Wonderful restaurant by Charles Bridge', 'Beautiful, romantic restaurant'], ['01/08/2018', '01/01/2018']]",/Restaurant_Review-g274707-d692129-Reviews-Kampa_Park-Prague_Bohemia.html
DEN NOC,"['Wine Bar', 'Central European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",45.0,4.5,$,516.0,"[['Best breakfast in prague', 'Lovely breakfast'], ['01/07/2018', '01/05/2018']]",/Restaurant_Review-g274707-d6754233-Reviews-DEN_NOC-Prague_Bohemia.html
Restaurant Pod Vezi,"['European', 'Czech', 'Central European', 'International', 'Vegetarian Friendly', 'Gluten Free Options']",46.0,4.5,$$ - $$$,1942.0,"[['Outstanding food', 'A beautiful restaurant for a romantic nigh...'], ['01/08/2018', '01/08/2018']]",/Restaurant_Review-g274707-d1800142-Reviews-Restaurant_Pod_Vezi-Prague_Bohemia.html
Tempo Allegro,"['Italian', 'European', 'Wine Bar', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",47.0,4.5,$$ - $$$,354.0,"[['Intimate atmosphere. Great food', 'A little gem'], ['01/06/2018', '12/27/2017']]",/Restaurant_Review-g274707-d4779070-Reviews-Tempo_Allegro-Prague_Bohemia.html
Atelier Red & Wine,"['French', 'Mediterranean', 'European', 'Central European', 'Contemporary', 'Vegetarian Friendly', 'Gluten Free Options']",48.0,4.5,$$ - $$$,609.0,"[['Great resaurant', 'Amazing Dinner'], ['01/09/2018', '12/26/2017']]",/Restaurant_Review-g274707-d6654082-Reviews-Atelier_Red_Wine-Prague_Bohemia.html
U Kroka,"['Diner', 'European', 'Czech', 'Central European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",49.0,4.5,$$ - $$$,4932.0,"[['Excellent food for the price', 'Best Czech food!'], ['01/09/2018', '01/08/2018']]",/Restaurant_Review-g274707-d819580-Reviews-U_Kroka-Prague_Bohemia.html
Palanda,"['American', 'Bar', 'European']",50.0,4.5,$$ - $$$,916.0,"[['Amazing', 'Really great'], ['01/09/2018', '01/04/2018']]",/Restaurant_Review-g274707-d1079431-Reviews-Palanda-Prague_Bohemia.html
Yami Sushi House,"['Japanese', 'Sushi', 'Asian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",51.0,4.5,$$ - $$$,509.0,"[['Best sushi place in Prague', 'Best sushi in Prague!!!'], ['01/03/2018', '12/27/2017']]",/Restaurant_Review-g274707-d694907-Reviews-Yami_Sushi_House-Prague_Bohemia.html
Bistro Sisters,"['Cafe', 'Fast Food', 'European', 'Czech', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",52.0,4.5,$,352.0,"[['Mini sandwiches', 'Great antidote to heavy traditional food'], ['01/04/2018', '01/02/2018']]",/Restaurant_Review-g274707-d6651979-Reviews-Bistro_Sisters-Prague_Bohemia.html
U Bulinu,"['European', 'Czech', 'Eastern European', 'Central European', 'Vegetarian Friendly', 'Gluten Free Options']",53.0,4.5,$$ - $$$,835.0,"[['Great restaurant - great service (Peter)', 'Great, large quantities of food at a reaso...'], ['01/07/2018', '12/30/2017']]",/Restaurant_Review-g274707-d2367632-Reviews-U_Bulinu-Prague_Bohemia.html
U Modre Kachnicky II.,"['European', 'Czech', 'Eastern European', 'Central European', 'Vegetarian Friendly', 'Gluten Free Options']",54.0,4.5,$$ - $$$,1671.0,"[['Fantastic', 'Superb Traditional Food; Incredible Duck'], ['01/07/2018', '01/05/2018']]",/Restaurant_Review-g274707-d694896-Reviews-U_Modre_Kachnicky_II-Prague_Bohemia.html
Il Capitano Ristorante,"['Mediterranean', 'Italian', 'Pizza', 'European', 'Vegetarian Friendly', 'Gluten Free Options', 'Vegan Options']",55.0,4.5,$$ - $$$,354.0,"[['Best restaurant in the area', 'Quality restaurant'], ['01/09/2018', '01/05/2018']]",/Restaurant_Review-g274707-d7886473-Reviews-Il_Capitano_Ristorante-Prague_Bohemia.html
Meat & Greet Burgerhouse,"['American', 'Bar', 'European', 'Vegetarian Friendly', 'Gluten Free Options']",56.0,4.5,$$ - $$$,465.0,"[['Insanely good', 'Ones of the best burgers in Prague!'], ['01/07/2018', '01/06/2018']]",/Restaurant_Review-g274707-d8310938-Reviews-Meat_Greet_Burgerhouse-Prague_Bohemia.html
Cloud 9 Sky Bar & Lounge,"['Bar', 'European', 'Vegetarian Friendly']",57.0,4.5,$$ - $$$,618.0,"[['Chic and trendy', 'Modern venue with great view of Prague'], ['01/08/2018', '01/04/2018']]",/Restaurant_Review-g274707-d3906899-Reviews-Cloud_9_Sky_Bar_Lounge-Prague_Bohemia.html
Rilke Restaurant,"['International', 'European', 'Czech', 'Central European', 'Vegetarian Friendly']",58.0,4.5,$$ - $$$,1751.0,"[['Lovely and delicious', 'Best meal we’ve had in Prague'], ['12/20/2017', '12/13/2017']]",/Restaurant_Review-g274707-d1625635-Reviews-Rilke_Restaurant-Prague_Bohemia.html
Bibimbap Korea,"['Asian', 'Korean', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",59.0,4.5,$,298.0,"[['Worth the trip', 'I liked it and recomends'], ['01/02/2018', '12/30/2017']]",/Restaurant_Review-g274707-d8647769-Reviews-Bibimbap_Korea-Prague_Bohemia.html
La Bottega Linka,"['Italian', 'Mediterranean', 'European', 'Grill', 'Central European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",60.0,4.5,$$ - $$$,344.0,"[['La Bottega Linka', 'Great food and great service!'], ['01/09/2018', '01/07/2018']]",/Restaurant_Review-g274707-d10915501-Reviews-La_Bottega_Linka-Prague_Bohemia.html
Divinis,"['Italian', 'European', 'Vegetarian Friendly', 'Gluten Free Options']",61.0,4.5,$$$$,545.0,"[['Excellent', 'Sublime food and lovely atmosphere'], ['12/31/2017', '12/28/2017']]",/Restaurant_Review-g274707-d1024440-Reviews-Divinis-Prague_Bohemia.html
Bugsy's bar,['Bar'],62.0,4.5,$$$$,500.0,"[['Best cocktail bar', 'Well worth the visit.'], ['01/10/2018', '12/20/2017']]",/Restaurant_Review-g274707-d694810-Reviews-Bugsy_s_bar-Prague_Bohemia.html
The Tavern Bar,"['Barbecue', 'American', 'Brew Pub', 'Bar', 'Vegetarian Friendly', 'Vegan Options']",63.0,4.5,$$ - $$$,750.0,"[['Small bar at the corner!', 'Fanatastic & short walk from TV Tower'], ['01/03/2018', '12/29/2017']]",/Restaurant_Review-g274707-d3381330-Reviews-The_Tavern_Bar-Prague_Bohemia.html
Agave Restaurant,"['Mexican', 'Latin', 'Central American', 'International', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",64.0,4.5,$$ - $$$,1008.0,"[['Delicious Mexican cuisine.', 'Excellent Mexican restaurant'], ['01/07/2018', '01/06/2018']]",/Restaurant_Review-g274707-d7209419-Reviews-Agave_Restaurant-Prague_Bohemia.html
Krystal Bistro,"['European', 'Czech', 'Central European', 'Vegetarian Friendly']",65.0,4.5,$$ - $$$,393.0,"[['Dinner', 'Very nice place and good food'], ['12/30/2017', '12/30/2017']]",/Restaurant_Review-g274707-d2440410-Reviews-Krystal_Bistro-Prague_Bohemia.html
Maitrea,"['Mexican', 'Asian', 'International', 'European', 'Czech', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",66.0,4.5,$$ - $$$,2066.0,"[['Best veggie food!', 'Simply amazing, 5*'], ['01/08/2018', '01/07/2018']]",/Restaurant_Review-g274707-d1601193-Reviews-Maitrea-Prague_Bohemia.html
Alriso Risotteria Italiana,"['Italian', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",67.0,4.5,$$ - $$$,888.0,"[['Great ambience and food', 'Superb'], ['01/06/2018', '01/04/2018']]",/Restaurant_Review-g274707-d4128281-Reviews-Alriso_Risotteria_Italiana-Prague_Bohemia.html
Dish Fine Burger Bistro,"['American', 'Vegetarian Friendly']",68.0,4.5,$$ - $$$,777.0,"[['Great burguer', 'Finest'], ['01/08/2018', '01/04/2018']]",/Restaurant_Review-g274707-d3734208-Reviews-Dish_Fine_Burger_Bistro-Prague_Bohemia.html
Sushi Maru,"['Korean', 'Japanese', 'Sushi', 'Asian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",69.0,4.5,$$ - $$$,313.0,"[['Excellent value', 'Best japanеse cuisine in town'], ['12/23/2017', '12/22/2017']]",/Restaurant_Review-g274707-d10837270-Reviews-Sushi_Maru-Prague_Bohemia.html
Sansho,"['Asian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",70.0,4.5,$$$$,666.0,"[['Absolutely excellent take on Asian food', 'Worth a visit just for the crab!'], ['12/24/2017', '12/07/2017']]",/Restaurant_Review-g274707-d2093504-Reviews-Sansho-Prague_Bohemia.html
La Bottega Di Finestra,"['Italian', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",71.0,4.5,$$ - $$$,915.0,"[['Breakfast at La Bottega', 'Soup after the cold rain!'], ['01/05/2018', '01/02/2018']]",/Restaurant_Review-g274707-d3242578-Reviews-La_Bottega_Di_Finestra-Prague_Bohemia.html
Cicala Trattoria,"['Mediterranean', 'Italian', 'European', 'Vegetarian Friendly', 'Gluten Free Options']",72.0,4.5,$$ - $$$,751.0,"[['Amazing Italian!', 'New Years'], ['01/08/2018', '01/01/2018']]",/Restaurant_Review-g274707-d694914-Reviews-Cicala_Trattoria-Prague_Bohemia.html
Restaurace Eska,"['European', 'Czech', 'Central European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",73.0,4.5,$$ - $$$,441.0,"[['Beautiful experience!', 'Fashionably sustainable - maybe. Terrrific...'], ['01/06/2018', '01/05/2018']]",/Restaurant_Review-g274707-d8822108-Reviews-Restaurace_Eska-Prague_Bohemia.html
Restaurant U Modre kachnicky,"['European', 'Czech', 'Eastern European', 'Central European', 'Vegetarian Friendly', 'Gluten Free Options']",74.0,4.5,$$$$,781.0,"[['Make sure you are not in the back room', 'Wonderful Birthday Dinner'], ['01/05/2018', '01/01/2018']]",/Restaurant_Review-g274707-d694895-Reviews-Restaurant_U_Modre_kachnicky-Prague_Bohemia.html
U Magistra Kelly,"['European', 'Czech', 'Eastern European', 'Central European', 'International', 'Vegetarian Friendly', 'Gluten Free Options']",75.0,4.5,$,1116.0,"[['A visit to Praga', 'Exelent Restaurant'], ['01/09/2018', '01/08/2018']]",/Restaurant_Review-g274707-d2219259-Reviews-U_Magistra_Kelly-Prague_Bohemia.html
Hanabi Sushi House,"['Japanese', 'Sushi', 'Asian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",76.0,4.5,$$ - $$$,589.0,"[['Amazing', 'Sat at the Sushi Bar'], ['12/30/2017', '12/29/2017']]",/Restaurant_Review-g274707-d2530954-Reviews-Hanabi_Sushi_House-Prague_Bohemia.html
Cafe Lounge,"['European', 'Czech', 'Central European', 'International', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",77.0,4.5,$$ - $$$,659.0,"[['Nice place and good ambiance', 'Our go to brekky place'], ['01/03/2018', '12/31/2017']]",/Restaurant_Review-g274707-d1604256-Reviews-Cafe_Lounge-Prague_Bohemia.html
Yori Restaurant,"['Asian', 'Thai', 'Vietnamese', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",78.0,4.5,$,321.0,"[['Very nice place', 'Good service and excellent food!'], ['01/09/2018', '01/09/2018']]",/Restaurant_Review-g274707-d11801070-Reviews-Yori_Restaurant-Prague_Bohemia.html
Restaurace Pod Vysehradem,"['Bar', 'European', 'Czech', 'Eastern European', 'Central European', 'Vegetarian Friendly']",79.0,4.5,$,603.0,"[['Lunch after Vysehrad Castle', 'Typical Czech food'], ['01/05/2018', '01/02/2018']]",/Restaurant_Review-g274707-d4451558-Reviews-Restaurace_Pod_Vysehradem-Prague_Bohemia.html
Cafe Imperial,"['International', 'European', 'Czech', 'Cafe', 'Soups', 'Eastern European', 'Central European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",80.0,4.5,$$ - $$$,4521.0,"[['A touch of glamour', ""Don't miss seeing this place""], ['01/09/2018', '01/07/2018']]",/Restaurant_Review-g274707-d1118146-Reviews-Cafe_Imperial-Prague_Bohemia.html
Zvonice,"['European', 'Czech', 'Eastern European', 'Central European', 'Vegetarian Friendly', 'Gluten Free Options', 'Vegan Options']",81.0,4.5,$$$$,584.0,"[['Quirky restaurant', 'Great experience'], ['01/01/2018', '12/28/2017']]",/Restaurant_Review-g274707-d830945-Reviews-Zvonice-Prague_Bohemia.html
La Bottega Bistroteka,"['Italian', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",82.0,4.5,$$ - $$$,782.0,"[['great breakfast spot', 'Good Food... Great Service!'], ['01/03/2018', '01/02/2018']]",/Restaurant_Review-g274707-d7134017-Reviews-La_Bottega_Bistroteka-Prague_Bohemia.html
